Gender,Age,Annual Income (k$),Spending Score (1-100)
Male,0.019230769230769273,0.0,0.38775510204081626
Male,0.05769230769230771,0.0,0.8163265306122448
Female,0.03846153846153849,0.008196721311475405,0.05102040816326531
Female,0.0961538461538462,0.008196721311475405,0.7755102040816326
Female,0.25,0.016393442622950824,0.39795918367346933
Female,0.07692307692307698,0.016393442622950824,0.7653061224489796
Female,0.326923076923077,0.024590163934426215,0.05102040816326531
Female,0.0961538461538462,0.024590163934426215,0.9489795918367346
Male,0.8846153846153847,0.032786885245901634,0.020408163265306124
Female,0.23076923076923084,0.032786885245901634,0.7244897959183673
Male,0.9423076923076924,0.032786885245901634,0.13265306122448978
Female,0.326923076923077,0.032786885245901634,0.9999999999999999
Female,0.7692307692307693,0.04098360655737705,0.14285714285714282
Female,0.11538461538461542,0.04098360655737705,0.7755102040816326
Male,0.3653846153846154,0.04098360655737705,0.12244897959183672
Male,0.07692307692307698,0.04098360655737705,0.7959183673469387
Female,0.326923076923077,0.049180327868852444,0.346938775510204
Male,0.03846153846153849,0.049180327868852444,0.6632653061224489
Male,0.6538461538461539,0.06557377049180328,0.2857142857142857
Female,0.326923076923077,0.06557377049180328,0.9897959183673468
Male,0.326923076923077,0.07377049180327867,0.346938775510204
Male,0.13461538461538464,0.07377049180327867,0.7346938775510203
Female,0.5384615384615385,0.08196721311475409,0.04081632653061224
Male,0.25,0.08196721311475409,0.7346938775510203
Female,0.6923076923076924,0.10655737704918032,0.13265306122448978
Male,0.21153846153846156,0.10655737704918032,0.8265306122448979
Female,0.5192307692307693,0.10655737704918032,0.31632653061224486
Male,0.326923076923077,0.10655737704918032,0.6122448979591836
Female,0.42307692307692313,0.11475409836065574,0.3061224489795918
Female,0.0961538461538462,0.11475409836065574,0.8775510204081631
Male,0.8076923076923078,0.12295081967213116,0.030612244897959183
Female,0.05769230769230771,0.12295081967213116,0.7346938775510203
Male,0.6730769230769232,0.14754098360655737,0.030612244897959183
Male,0.0,0.14754098360655737,0.9285714285714285
Female,0.5961538461538463,0.14754098360655737,0.13265306122448978
Female,0.05769230769230771,0.14754098360655737,0.8163265306122448
Female,0.46153846153846156,0.1557377049180328,0.16326530612244897
Female,0.23076923076923084,0.1557377049180328,0.7346938775510203
Female,0.34615384615384615,0.180327868852459,0.2551020408163265
Female,0.03846153846153849,0.180327868852459,0.7551020408163265
Female,0.9038461538461539,0.1885245901639344,0.346938775510204
Male,0.11538461538461542,0.1885245901639344,0.9285714285714285
Male,0.576923076923077,0.19672131147540983,0.3571428571428571
Female,0.25,0.19672131147540983,0.6122448979591836
Female,0.5961538461538463,0.19672131147540983,0.2755102040816326
Female,0.11538461538461542,0.19672131147540983,0.6530612244897959
Female,0.6153846153846154,0.20491803278688525,0.5510204081632653
Female,0.17307692307692313,0.20491803278688525,0.4693877551020408
Female,0.21153846153846156,0.20491803278688525,0.4183673469387755
Female,0.25,0.20491803278688525,0.4183673469387755
Female,0.5961538461538463,0.22131147540983603,0.520408163265306
Male,0.28846153846153855,0.22131147540983603,0.6020408163265305
Female,0.25,0.22950819672131145,0.5408163265306122
Male,0.7884615384615384,0.22950819672131145,0.6020408163265305
Female,0.6153846153846154,0.22950819672131145,0.44897959183673464
Male,0.5576923076923077,0.22950819672131145,0.4081632653061224
Female,0.6346153846153847,0.23770491803278687,0.5
Male,0.980769230769231,0.23770491803278687,0.4591836734693877
Female,0.17307692307692313,0.2540983606557377,0.510204081632653
Male,0.6730769230769232,0.2540983606557377,0.4591836734693877
Male,1.0,0.2540983606557377,0.5612244897959183
Male,0.019230769230769273,0.2540983606557377,0.5510204081632653
Female,0.9423076923076924,0.26229508196721313,0.520408163265306
Female,0.6923076923076924,0.26229508196721313,0.5918367346938775
Male,0.8653846153846155,0.2704918032786885,0.510204081632653
Male,0.0,0.2704918032786885,0.5918367346938775
Female,0.48076923076923084,0.2704918032786885,0.5
Female,0.9615384615384616,0.2704918032786885,0.47959183673469385
Male,0.019230769230769273,0.2704918032786885,0.5918367346938775
Female,0.2692307692307693,0.2704918032786885,0.4693877551020408
Male,1.0,0.2786885245901639,0.5510204081632653
Female,0.5576923076923077,0.2786885245901639,0.4183673469387755
Female,0.8076923076923078,0.28688524590163933,0.48979591836734687
Female,0.8076923076923078,0.28688524590163933,0.5612244897959183
Male,0.7884615384615384,0.319672131147541,0.4693877551020408
Male,0.15384615384615385,0.319672131147541,0.5408163265306122
Female,0.5192307692307693,0.319672131147541,0.5306122448979591
Male,0.42307692307692313,0.319672131147541,0.47959183673469385
Female,0.0961538461538462,0.319672131147541,0.520408163265306
